Name,Address,Cuisine,Latitude,Longitude
Arlington Diner,,,42.403979,-71.1402833
Kelly's Diner,"674, Broadway, Somerville",,42.3995488,-71.1115911
My Diner,"399, Main Street, Melrose",diner,42.4529761,-71.0663744
Rosco's Diner,"11, Central Square, Chelmsford",,42.5965735,-71.3520264
Victor's 50s Diner,,american,42.3910581,-71.5701949
My Diner,"455, East First Street, South Boston",diner,42.3379214,-71.0422832
Lou's Diner,,american,42.4133417,-71.6823054
Country View Diner,,american,42.6708705,-71.4197903
The Galley Diner,"11, P Street",diner,42.33778,-71.0274312
Leo‘s Place Diner,"625, Main Street, Waltham",,42.3764129,-71.2365157
Pauls Diner,,diner,42.5657663,-71.4226364
J&M Diner,"50, Worcester Road",diner,42.2978554,-71.3949157
Forest Hills Diner,"3696, Washington Street",,42.3006707,-71.1127463
Early Harvest Diner,"25, Broadway, Wakefield",,42.4979759,-71.0714185
Ugly Mug Diner,,breakfast;diner,42.5210011,-70.8957534
Rick's Diner,,,42.6249335,-71.3593724
Theo's Diner,,breakfast;sandwich,42.7252166,-70.9914959
Fari's Diner,,,42.6852475,-71.1363734
Iron Town Diner,"325, Main Street, Saugus",diner,42.4731328,-71.0355151
Chuck Wagon Diner,,,42.5080967,-71.0623102
North Avenue Diner,"247, North Avenue, Wakefield",diner,42.5025734,-71.0755362
Cameo Diner,,,42.6565217,-71.3126843
Andy's Diner,"2030, Massachusetts Avenue, Cambridge",american;breakfast;lunch,42.3906604,-71.1220775
Mass Ave Diner,"906, Massachusetts Avenue, Cambridge",diner,42.3681918,-71.1086529
Howard Street Diner,,,42.1093988,-71.0231124
Minuteman Diner,,american,42.4841077,-71.2603927
Little Big Diner,"1247, Centre Street, Newton",ramen,42.3305831,-71.1949463
Wagon Wheel Diner,"384, South Main Street",,42.1075649,-71.1988307
The Peabody Diner,"10, Margin Street, Peabody",,42.5326775,-70.9138754
Town Square Diner,"164, Nahatan Street",,42.1940553,-71.1994678
Istanbul Diner & Cafe,"120, Veterans of Foreign Wars Pkwy, Revere",turkish,42.4112933,-70.9980513
The New Yorker Diner,"39, Mount Auburn Street",,42.3659443,-71.1825591
50's Diner,,,42.2337838,-71.1782634
Capitol Diner,"431, Union Street, Lynn",diner,42.4632033,-70.9443377
Mimi's Chūka Diner,"14, Tyler Street, Somerville",chinese;japanese;diner,42.381766,-71.1059222
Swanton Street Diner,"72, Swanton Street",pasta; seafood; burger; american,42.4596361,-71.1324329
Owl Diner,,,42.6393936,-71.3134059
Victoria's Diner,"1024, Massachusetts Avenue, Boston",diner,42.3270283,-71.0667873
Deluxe Town Diner,"627, Mount Auburn Street, Watertown",diner,42.370956,-71.1580053
The Lunch Box Diner,"906, Eastern Avenue",,42.4301269,-71.0443455
Dominics Diner,"492, Sutton St, North Andover",,42.7144377,-71.1213026
Dream Diner,"384, Middlesex Road, Tyngsboro",american,42.6910119,-71.4342358
Alicia's Diner,"116, Bridge Street, Pelham",american,42.7201703,-71.3191384
Comets Diner,"22, Westford Road, Tyngsborough",american,42.6691026,-71.4204751
Lanna Thai Diner,"901C, Main Street, Woburn",thai,42.5085283,-71.1604143
South Street Diner,"178, Kneeland Street",,42.3498661,-71.0577492
Liberty Diner,,,42.3280685,-71.068298
Locals Diner,"1420, Lakeview Avenue",,42.6725087,-71.3320916
Lloyd's Diner,"184, Fountain Street",,42.2753509,-71.4331203
Michael's Bridge Diner,"56, South Main Street",,42.4375721,-71.6870146
Uncle Charlie's Finer Diner,"1496, Main Street, South Weymouth",breakfast,42.1530782,-70.9548506
Casey's Diner,"36, South Avenue, Natick",,42.2857498,-71.3444386
The Little Depot Diner,"1, Railroad Avenue, Peabody",breakfast,42.5270345,-70.9275672
Agawam Diner,,,42.7047841,-70.9095578
Red Wing Diner,"2235, Boston Providence Highway, Walpole",pizza,42.1077083,-71.2500225
Wilson's Diner,"507, Main Street, Waltham",Diner,42.377185,-71.2309405
Chelmsford Diner,"7, Summer Street, Chelmsford",american,42.5939972,-71.347678
Salem Diner,"70 1/2, Loring Avenue, Salem",,42.5014913,-70.8955471
Mike's City Diner,"1714, Washington Street, Boston",diner,42.3369138,-71.0760096
Olympian Diner,"17, Hancock Street",,42.2019915,-71.0053303
Stoughton Diner,,,42.1253394,-71.1019712
Patriots Diner,"65, Founders Drive, Woonsocket",,41.9913122,-71.4849234
Airport Diner Domicilios La Suegra,"10, Furlong Drive, Revere",colombian;diner,42.4017654,-71.004134
