"Reference","Qty","Value","Footprint","Datasheet","CatNo"
"A1","1","Arduino_MKR_Zero_Socket","PCB_arduino-library:Arduino_MKR_Zero_Socket","https://docs.arduino.cc/hardware/mkr-zero","732-5325-ND"
"C1,C4","2",".047uF","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","~","BC2686CT-ND"
"C2,C3","2","250uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","1189-2913-ND"
"C5","1","33uF","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P5.00mm","~","478-TAP336M010CRWCT-ND"
"J1","1","Conn_01x05","my_gps:gps_module","~","S7038-ND"
"LS1","1","Speaker","speaker:CVS-1508_CUD","~","102-2498-ND"
"N1","1","Housing","","~","732-5325-ND"
"R1","1","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"RV1","1","R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3266W_Vertical","~","3266W-103LF-ND"
"U1","1","LM386","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm386.pdf","5536-LM386N-ND"
